# LIVE-PROVEN candidate transport rows derived from the OSRS cache by generateTransportRows.
# NOT active. Review, then move rows into transport-overrides.tsv to use them.
#
# Rows here matched Route A live validator edges (DREW_MAP_VALIDATE
# OURS_BLOCKS_LIVE_OPEN). They still need human review before copying.
# rank=1 detour=>512 routeA=proven edge=2959,3334,2 N name=Castle door
BASELINE	2959,3335,2	2959,3334,2	Open Castle door	1
BASELINE	2959,3334,2	2959,3335,2	Open Castle door	1
# rank=2 detour=>512 routeA=proven edge=2960,3334,2 N name=Castle door
BASELINE	2960,3335,2	2960,3334,2	Open Castle door	1
BASELINE	2960,3334,2	2960,3335,2	Open Castle door	1
# rank=3 detour=>512 routeA=proven edge=2960,3342,2 N name=Castle door
BASELINE	2960,3342,2	2960,3343,2	Open Castle door	1
BASELINE	2960,3343,2	2960,3342,2	Open Castle door	1
# rank=4 detour=>512 routeA=proven edge=2961,3342,2 N name=Castle door
BASELINE	2961,3342,2	2961,3343,2	Open Castle door	1
BASELINE	2961,3343,2	2961,3342,2	Open Castle door	1
# rank=5 detour=82 routeA=proven edge=2964,3338,0 E name=Castle door
BASELINE	2965,3338,0	2964,3338,0	Open Castle door	1
BASELINE	2964,3338,0	2965,3338,0	Open Castle door	1
# rank=6 detour=82 routeA=proven edge=2964,3339,0 E name=Castle door
BASELINE	2965,3339,0	2964,3339,0	Open Castle door	1
BASELINE	2964,3339,0	2965,3339,0	Open Castle door	1
# rank=7 detour=54 routeA=proven edge=2970,3336,0 N name=Castle door
BASELINE	2970,3337,0	2970,3336,0	Open Castle door	1
BASELINE	2970,3336,0	2970,3337,0	Open Castle door	1
# rank=8 detour=54 routeA=proven edge=2971,3336,0 N name=Castle door
BASELINE	2971,3337,0	2971,3336,0	Open Castle door	1
BASELINE	2971,3336,0	2971,3337,0	Open Castle door	1
# rank=9 detour=26 routeA=proven edge=2981,3340,0 E name=Castle door
BASELINE	2981,3340,0	2982,3340,0	Open Castle door	1
BASELINE	2982,3340,0	2981,3340,0	Open Castle door	1
# rank=10 detour=26 routeA=proven edge=2981,3341,0 E name=Castle door
BASELINE	2981,3341,0	2982,3341,0	Open Castle door	1
BASELINE	2982,3341,0	2981,3341,0	Open Castle door	1
