# RANKED CANDIDATE transport rows derived from the OSRS cache by generateTransportRows.
# NOT active. Review, then move rows into transport-overrides.tsv to use them.
#
# Sorted by detour pain, highest first. Every row below is still only a
# candidate: Route A live mismatch proof is required before merge.
# rank=1 detour=>512 routeA=missing edge=2809,9313,0 N name=Ancient Gate
BASELINE	2809,9314,0	2809,9313,0	Open Ancient Gate	1
BASELINE	2809,9313,0	2809,9314,0	Open Ancient Gate	1
# rank=2 detour=>512 routeA=missing edge=2809,9331,0 N name=Ancient Gate
BASELINE	2809,9332,0	2809,9331,0	Open Ancient Gate	1
BASELINE	2809,9331,0	2809,9332,0	Open Ancient Gate	1
# rank=3 detour=>512 routeA=missing edge=2810,9313,0 N name=Ancient Gate
BASELINE	2810,9314,0	2810,9313,0	Open Ancient Gate	1
BASELINE	2810,9313,0	2810,9314,0	Open Ancient Gate	1
# rank=4 detour=>512 routeA=missing edge=2810,9331,0 N name=Ancient Gate
BASELINE	2810,9332,0	2810,9331,0	Open Ancient Gate	1
BASELINE	2810,9331,0	2810,9332,0	Open Ancient Gate	1
# rank=5 detour=>512 routeA=missing edge=2928,9516,0 N name=Ancient metal gate
BASELINE	2928,9516,0	2928,9517,0	Open Ancient metal gate	1
BASELINE	2928,9517,0	2928,9516,0	Open Ancient metal gate	1
# rank=6 detour=>512 routeA=missing edge=2929,9516,0 N name=Ancient metal gate
BASELINE	2929,9516,0	2929,9517,0	Open Ancient metal gate	1
BASELINE	2929,9517,0	2929,9516,0	Open Ancient metal gate	1
# rank=7 detour=>512 routeA=missing edge=2743,2767,0 E name=Bamboo Door
BASELINE	2744,2767,0	2743,2767,0	Open Bamboo Door	1
BASELINE	2743,2767,0	2744,2767,0	Open Bamboo Door	1
# rank=8 detour=>512 routeA=missing edge=2776,9195,0 E name=Bamboo Door
BASELINE	2777,9195,0	2776,9195,0	Open Bamboo Door	1
BASELINE	2776,9195,0	2777,9195,0	Open Bamboo Door	1
# rank=9 detour=>512 routeA=missing edge=2782,3057,0 E name=Bamboo Door
BASELINE	2782,3057,0	2783,3057,0	Open Bamboo Door	1
BASELINE	2783,3057,0	2782,3057,0	Open Bamboo Door	1
# rank=10 detour=>512 routeA=missing edge=2792,3054,0 E name=Bamboo Door
BASELINE	2792,3054,0	2793,3054,0	Open Bamboo Door	1
BASELINE	2793,3054,0	2792,3054,0	Open Bamboo Door	1
# rank=11 detour=>512 routeA=missing edge=2802,3058,0 E name=Bamboo Door
BASELINE	2802,3058,0	2803,3058,0	Open Bamboo Door	1
BASELINE	2803,3058,0	2802,3058,0	Open Bamboo Door	1
# rank=12 detour=>512 routeA=missing edge=2007,5914,0 E name=Barrier
BASELINE	2007,5914,0	2008,5914,0	Pass Barrier	1
BASELINE	2008,5914,0	2007,5914,0	Pass Barrier	1
# rank=13 detour=>512 routeA=missing edge=2027,5914,0 E name=Barrier
BASELINE	2028,5914,0	2027,5914,0	Pass Barrier	1
BASELINE	2027,5914,0	2028,5914,0	Pass Barrier	1
# rank=14 detour=>512 routeA=missing edge=2199,2842,0 E name=Barrier
BASELINE	2199,2842,0	2200,2842,0	Pass Barrier	1
BASELINE	2200,2842,0	2199,2842,0	Pass Barrier	1
# rank=15 detour=>512 routeA=missing edge=2219,2842,0 E name=Barrier
BASELINE	2220,2842,0	2219,2842,0	Pass Barrier	1
BASELINE	2219,2842,0	2220,2842,0	Pass Barrier	1
# rank=16 detour=>512 routeA=missing edge=3282,3382,0 E name=Bedroom door
BASELINE	3282,3382,0	3283,3382,0	Open Bedroom door	1
BASELINE	3283,3382,0	3282,3382,0	Open Bedroom door	1
# rank=17 detour=>512 routeA=missing edge=2850,5333,2 E name=Big door
BASELINE	2851,5333,2	2850,5333,2	Open Big door	1
BASELINE	2850,5333,2	2851,5333,2	Open Big door	1
# rank=18 detour=>512 routeA=missing edge=2930,9644,0 E name=Blue door
BASELINE	2931,9644,0	2930,9644,0	Open Blue door	1
